Robust cicada,?,On Trees,8 - 17,-,-,-,-,-,-,1,1,-,-,-,-
Rosalia batesi beetle,"3,000",On Tree Stumps,All day,-,-,-,-,1,1,1,1,1,-,-,-
Saw stag,?,On Trees,All day,-,-,-,-,-,-,1,1,-,-,-,-
Scarab beetle,?,On Tree,23 - 8,-,-,-,-,-,-,1,1,-,-,-,-
Scorpion,8000,On the ground,19 - 4,-,-,-,-,1,1,1,1,1,1,-,-
Snail,250,On rocks when raining,All day,1,1,1,1,1,1,1,1,1,1,1,1
Spider,480,Shake a tree,19 - 8,1,1,1,1,1,1,1,1,1,1,1,1
Stinkbug,120,On flowers,All day,-,-,1,1,1,1,1,1,1,1,-,-
Tarantula,"8,000",On the ground,19 - 4,1,1,1,1,-,-,-,-,-,-,1,1
Tiger beetle,"1,500",On the ground,All day,-,1,1,1,1,1,1,1,1,1,-,-
Tiger butterfly,240,Flying,4 - 19,-,-,1,1,1,1,1,1,1,-,-,-
Violin beetle,450,On a tree stump,All day,-,-,-,-,1,1,-,-,1,1,1,-
Walker cicada,400,On Trees,8 - 17,-,-,-,-,-,-,-,1,1,-,-,-
Walking leaf,600,Under Trees Disguised as Leafs,All day,-,-,-,-,-,-,1,1,1,-,-,-
Walking stick,?,Shaking Tree,4 - 8 & 17 - 19,-,-,-,-,-,-,1,1,1,1,1,-
Wasp,"2,500",Shake tree,All day,1,1,1,1,1,1,1,1,1,1,1,1
Wharf roach,200,On beach rocks,All day,1,1,1,1,1,1,1,1,1,1,1,1
Yellow butterfly,160,Flying,4 - 19,-,-,1,1,1,1,-,-,1,1,-,-
